WARNING:pip_audit._cli:--no-deps is supported, but users are encouraged to fully hash their pinned dependencies
WARNING:pip_audit._cli:Consider using a tool like `pip-compile`: https://pip-tools.readthedocs.io/en/latest/#using-hashes
Found 428 known vulnerabilities in 49 packages
Name             Version ID                  Fix Versions
---------------- ------- ------------------- ------------
gitpython        3.1.44  PYSEC-2026-3952     3.1.54
gitpython        3.1.44  PYSEC-2026-3950     3.1.56
gitpython        3.1.44  PYSEC-2026-3948     3.1.57
gitpython        3.1.44  CVE-2026-73624      3.1.54
h2               4.1.0   PYSEC-2026-1435     4.3.0
h2               4.1.0   PYSEC-2026-1435     4.3.0
h2               4.1.0   PYSEC-2026-3628     4.4.1
h2               4.1.0   PYSEC-2026-3628     4.4.1
httplib2         0.22.0  PYSEC-2026-3444     0.32.0
httplib2         0.22.0  PYSEC-2026-3444     0.32.0
httpx2           2.10.0  PYSEC-2026-3849     2.11.0
httpx2           2.10.0  PYSEC-2026-3848     2.11.0
httpx2           2.10.0  PYSEC-2026-3846     2.12.0
jaraco-context   6.0.2   CVE-2026-23949      6.1.0
langchain-openai 0.3.35  PYSEC-2026-76       1.1.14
langchain-openai 0.3.35  PYSEC-2026-76       1.1.14
litellm          1.72.0  PYSEC-2026-2597     1.83.0
litellm          1.72.0  PYSEC-2026-390      1.83.0
litellm          1.72.0  PYSEC-2026-388      1.84.0
litellm          1.72.0  PYSEC-2026-2600     1.83.10
litellm          1.72.0  PYSEC-2026-2598     1.83.14
litellm          1.72.0  PYSEC-2026-390      1.83.0
litellm          1.72.0  PYSEC-2026-388      1.84.0
litellm          1.72.0  PYSEC-2026-2597     1.83.0
litellm          1.72.0  PYSEC-2026-2598     1.83.14
litellm          1.72.0  PYSEC-2026-2600     1.83.10
litellm          1.72.0  PYSEC-2026-3477     1.83.7
litellm          1.72.0  PYSEC-2026-3479     1.84.0
litellm          1.72.0  PYSEC-2026-3476     1.83.10
litellm          1.72.0  PYSEC-2026-3478     1.82.0
litellm          1.72.0  PYSEC-2026-3477     1.83.7
litellm          1.72.0  PYSEC-2026-3479     1.84.0
litellm          1.72.0  PYSEC-2026-3478     1.82.0
litellm          1.72.0  PYSEC-2026-3476     1.83.10
litellm          1.72.0  PYSEC-2026-3861     1.83.7
litellm          1.72.0  CVE-2026-12772
litellm          1.72.0  CVE-2026-12771
litellm          1.72.0  CVE-2026-12795
litellm          1.72.0  CVE-2026-12773      1.84.0
litellm          1.72.0  GHSA-69x8-hrgq-fjj8 1.83.0
litellm          1.72.0  CVE-2026-12796
litellm          1.72.0  CVE-2026-12798
litellm          1.72.0  CVE-2026-12799
litellm          1.72.0  CVE-2026-12797
litellm          1.72.0  CVE-2026-59823      1.83.9
lupa             2.6     PYSEC-2026-2613
lupa             2.6     PYSEC-2026-2613
lxml             5.3.0   PYSEC-2026-87       6.1.0
lxml             5.3.0   PYSEC-2026-87       6.1.0
mako             1.3.10  PYSEC-2026-2617     1.3.12
mako             1.3.10  PYSEC-2026-2617     1.3.12
mcp              1.26.0  PYSEC-2026-3481     1.27.2
mcp              1.26.0  PYSEC-2026-3482     1.27.2
mcp              1.26.0  PYSEC-2026-3483     1.28.1
mcp              1.26.0  PYSEC-2026-3482     1.27.2
mcp              1.26.0  PYSEC-2026-3483     1.28.1
