timestamp,group,n,mean_ms,median_ms,p95_ms,p99_ms,min_ms,max_ms
20260814T190517Z,write_baseline,1000,0.06513606388762128,0.03460450534475967,0.13954099267721176,0.8813329914119095,0.027624992071650922,4.268459000741132
20260814T190517Z,write_governed,1000,0.29253888098173775,0.266937495325692,0.40779200207907706,0.6316250073723495,0.2390000008745119,2.3709169909125194
20260814T190517Z,audit_append,1000,0.3994590239599347,0.3096880027442239,0.8742079953663051,1.5690420113969594,0.21625000226777047,11.706292003509589
20260814T190517Z,policy_eval,1000,0.0006171830755192786,0.0005840120138600469,0.0006250047590583563,0.000667001586407423,0.0005420006345957518,0.011332987924106419
20260814T190517Z,full_governed,1000,0.8317242821358377,0.6369169932440855,1.603249998879619,3.953667008318007,0.48195800627581775,50.19724999147002
20260814T190517Z,overhead_pct,,,1740.56,,,,
20260814T190531Z,write_baseline,1000,0.0549757477856474,0.053750001825392246,0.06516701250802726,0.07204199209809303,0.045917011448182166,0.2695419971132651
20260814T190531Z,write_governed,1000,0.20521791007195134,0.1902290023281239,0.23350000265054405,0.2525409945519641,0.17704199126455933,4.9146669916808605
20260814T190531Z,audit_append,1000,0.2571519718912896,0.2414794944343157,0.33570799860171974,0.6512499967357144,0.20791699353139848,0.9766250004759058
20260814T190531Z,policy_eval,1000,0.0006242867675609887,0.0006249902071431279,0.000667001586407423,0.0007080088835209608,0.0005420006345957518,0.010541989468038082
20260814T190531Z,full_governed,1000,0.5493770430475706,0.4819370078621432,0.792292004916817,1.428249990567565,0.41045800026040524,14.005374992848374
20260814T190531Z,overhead_pct,,,796.63,,,,
